Airport.Code,Airport.Name,Time.Label,Time.Month,Statistics.Flights.Total
PDX,"Portland, OR: Portland International",2004/01,1,4673
PHL,"Philadelphia, PA: Philadelphia International",2004/01,1,9202
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/01,1,14272
SAN,"San Diego, CA: San Diego International",2004/01,1,7176
SEA,"Seattle, WA: Seattle/Tacoma International",2004/01,1,8586
SFO,"San Francisco, CA: San Francisco International",2004/01,1,10746
SLC,"Salt Lake City, UT: Salt Lake City International",2004/01,1,11270
TPA,"Tampa, FL: Tampa International",2004/01,1,5807
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/02,2,32372
BOS,"Boston, MA: Logan International",2004/02,2,9896
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/02,2,8216
CLT,"Charlotte, NC: Charlotte Douglas International",2004/02,2,8495
DCA,"Washington, DC: Ronald Reagan Washington National",2004/02,2,7307
DEN,"Denver, CO: Denver International",2004/02,2,11918
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/02,2,27068
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/02,2,11463
EWR,"Newark, NJ: Newark Liberty International",2004/02,2,12353
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/02,2,5499
IAD,"Washington, DC: Washington Dulles International",2004/02,2,8038
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/02,2,15650
JFK,"New York, NY: John F. Kennedy International",2004/02,2,6569
LAS,"Las Vegas, NV: McCarran International",2004/02,2,12287
LAX,"Los Angeles, CA: Los Angeles International",2004/02,2,17910
LGA,"New York, NY: LaGuardia",2004/02,2,10053
MCO,"Orlando, FL: Orlando International",2004/02,2,8338
MDW,"Chicago, IL: Chicago Midway International",2004/02,2,7241
MIA,"Miami, FL: Miami International",2004/02,2,5356
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/02,2,11745
ORD,"Chicago, IL: Chicago O'Hare International",2004/02,2,30970
PDX,"Portland, OR: Portland International",2004/02,2,4315
PHL,"Philadelphia, PA: Philadelphia International",2004/02,2,8645
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/02,2,13652
SAN,"San Diego, CA: San Diego International",2004/02,2,6625
SEA,"Seattle, WA: Seattle/Tacoma International",2004/02,2,8014
SFO,"San Francisco, CA: San Francisco International",2004/02,2,10027
SLC,"Salt Lake City, UT: Salt Lake City International",2004/02,2,10785
TPA,"Tampa, FL: Tampa International",2004/02,2,5712
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/03,3,34810
BOS,"Boston, MA: Logan International",2004/03,3,10921
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/03,3,8897
CLT,"Charlotte, NC: Charlotte Douglas International",2004/03,3,9139
DCA,"Washington, DC: Ronald Reagan Washington National",2004/03,3,7929
DEN,"Denver, CO: Denver International",2004/03,3,12879
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/03,3,29385
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/03,3,12607
EWR,"Newark, NJ: Newark Liberty International",2004/03,3,13719
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/03,3,6071
IAD,"Washington, DC: Washington Dulles International",2004/03,3,8795
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/03,3,17306
JFK,"New York, NY: John F. Kennedy International",2004/03,3,7055
LAS,"Las Vegas, NV: McCarran International",2004/03,3,13446
LAX,"Los Angeles, CA: Los Angeles International",2004/03,3,19497
LGA,"New York, NY: LaGuardia",2004/03,3,10922
MCO,"Orlando, FL: Orlando International",2004/03,3,9127
MDW,"Chicago, IL: Chicago Midway International",2004/03,3,7812
MIA,"Miami, FL: Miami International",2004/03,3,5791
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/03,3,12884
ORD,"Chicago, IL: Chicago O'Hare International",2004/03,3,33217
PDX,"Portland, OR: Portland International",2004/03,3,4751
PHL,"Philadelphia, PA: Philadelphia International",2004/03,3,9275
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/03,3,14710
SAN,"San Diego, CA: San Diego International",2004/03,3,7203
SEA,"Seattle, WA: Seattle/Tacoma International",2004/03,3,8783
SFO,"San Francisco, CA: San Francisco International",2004/03,3,11013
SLC,"Salt Lake City, UT: Salt Lake City International",2004/03,3,11546
TPA,"Tampa, FL: Tampa International",2004/03,3,6250
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/04,4,34026
BOS,"Boston, MA: Logan International",2004/04,4,10815
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/04,4,8690
CLT,"Charlotte, NC: Charlotte Douglas International",2004/04,4,8853
DCA,"Washington, DC: Ronald Reagan Washington National",2004/04,4,7691
DEN,"Denver, CO: Denver International",2004/04,4,12526
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/04,4,28593
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/04,4,12394
EWR,"Newark, NJ: Newark Liberty International",2004/04,4,13223
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/04,4,5907
IAD,"Washington, DC: Washington Dulles International",2004/04,4,8734
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/04,4,16666
JFK,"New York, NY: John F. Kennedy International",2004/04,4,7244
LAS,"Las Vegas, NV: McCarran International",2004/04,4,12880
LAX,"Los Angeles, CA: Los Angeles International",2004/04,4,18953
LGA,"New York, NY: LaGuardia",2004/04,4,10696
MCO,"Orlando, FL: Orlando International",2004/04,4,8953
MDW,"Chicago, IL: Chicago Midway International",2004/04,4,7588
MIA,"Miami, FL: Miami International",2004/04,4,5534
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/04,4,12103
ORD,"Chicago, IL: Chicago O'Hare International",2004/04,4,32091
